phantom;;;air;lung_rmi;adipose_rmi;adipose_CIRS;breast_rmi;breast;water;liver_rmi;liver;muscle_CIRS;os_spongieux;trabecular_bone;CB2-30_RMI;CB2-50_RMI;dense_bone;os_cortical
rho (g/cm3);Zi;Ai;0.00121;0.48;0.942;0.967;0.979;0.991;1;1.093;1.071;1.062;1.18;1.161;1.334;1.562;1.53;1.83
H;1;1;0;0.0847;0.0906;0.0977;0.0859;0.096;0.1119;0.0806;0.09;0.091;0.0867;0.07;0.0668;0.0477;0.057;0.0339
He;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Li;3;6.94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Be;4;9.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B;5;10.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C;6;12;0.01;0.5956;0.7229;0.7131;0.701;0.703;0;0.6701;0.694;0.697;0.13;0.5629;0.5347;0.4161;0.408;0.155
N;7;14;0.78;0.0197;0.0225;0.0179;0.0233;0.019;0;0.0247;0.021;0.021;0.036;0.0203;0.0212;0.0152;0.01;0.0397
O;8;16;0.21;0.1811;0.1627;0.1636;0.179;0.17;0.8881;0.2001;0.171;0.168;0.664;0.2272;0.2561;0.32;0.259;0.441
F;9;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ne;10;20.18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Na;11;23;0;0;0;0;0;0;0;0;0;0;0.0008;0;0;0;0;0.0006
Mg;12;24.3;0;0.1121;0;0;0;0;0;0;0;0;0.0006;0;0;0;0;0.0021
Al;13;26.98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Si;14;28.085;0;0.0058;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P;15;31;0;0;0;0;0;0;0;0;0;0;0.0243;0.033;0;0;0.083;0.102
S;16;32.1;0;0;0;0;0;0;0;0;0;0;0.0046;0;0;0;0.0007;0.0031
Cl;17;35.5;0;0.001;0.0013;0.0019;0.0013;0.002;0;0.0014;0.001;0.001;0;0.0015;0.0011;0.0008;0.0003;0
Ar;18;39.948;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
K;19;39.1;0;0;0;0;0;0;0;0;0;0;0.0023;0;0;0;0;0
Ca;20;40.1;0;0;0;0.0032;0.0095;0.009;0;0.0231;0.022;0.022;0.0496;0.085;0.1201;0.2002;0.179;0.222
Sc;21;44.96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ti;22;47.87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
V;23;50.94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cr;24;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mn;25;54.94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fe;26;55.85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TOT;;;1;1;1;0.9974;1;0.999;1;1;0.999;1;0.9989;0.9999;1;1;0.997;0.9994
H_meas (HU);SARRP 2018 60kV;;-1005.7;-491;-191.5;-130.7;-94.9;-61.3;3;34;61;88;537;645;1014.3;1826.6;1934;2791
H_meas (HU);Toshiba IC 2017 120kV fantome head FC43;;nan;nan;nan;-55;nan;-18;nan;nan;nan;75;295;328;nan;nan;1103;1428
H_meas (HU);Toshiba IC 2017 135kV fantome pelvis FC13;;nan;nan;nan;-70;nan;-30;nan;nan;nan;55;227;257;nan;nan;945;1200
H_meas (HU);Toshiba IC 2017 100kV fantome head FC13;;nan;nan;nan;-70;nan;-25;nan;nan;nan;83;340;388;nan;nan;1270;1615
H_meas (HU);Siemens IC 2018 120kV fantome body;;nan;-530;-100;-70;-60;-40;nan;80;nan;40;240;240;470;830;925;1240
H_meas (HU);Siemens IC 2018 120kV fantome head;;nan;-500;-72;-50;-25;-10;nan;115;nan;85;290;316;595;1005;1071;1400
